SOURCE_REPORTING_UNIT_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,OWNER_DESCR,STATE,COUNTY
Butte Unit,2014,2456863.5,206,941.0,13,Missing/Undefined,2456869.5,212.0,817.0,MISSING/NOT SPECIFIED,CA,BUTTE
CDF - Merced-Mariposa Unit,2014,2456887.5,230,1354.0,13,Missing/Undefined,2456889.5,232.0,1400.0,MISSING/NOT SPECIFIED,CA,MADERA
Tuolumne-Calaveras Unit,2014,2456904.5,247,1151.0,13,Missing/Undefined,2456906.5,249.0,1800.0,UNDEFINED FEDERAL,CA,TUOLUMNE
CDF - Merced-Mariposa Unit,2014,2456905.5,248,1757.0,13,Missing/Undefined,2456907.5,250.0,1015.0,MISSING/NOT SPECIFIED,CA,MADERA
Nevada-Yuba-Placer Unit,2014,2456938.5,281,1324.0,13,Missing/Undefined,2456945.5,288.0,800.0,MISSING/NOT SPECIFIED,CA,PLACER
Humboldt-Toiyabe National Forest,2015,2457246.5,224,1417.0,1,Lightning,2457258.5,236.0,2000.0,USFS,CA,051
Humboldt-Toiyabe National Forest,2015,2457202.5,180,2124.0,1,Lightning,2457205.5,183.0,1257.0,USFS,CA,051
Humboldt-Toiyabe National Forest,2015,2457170.5,148,1730.0,1,Lightning,2457172.5,150.0,1600.0,USFS,CA,003
Humboldt-Toiyabe National Forest,2015,2457204.5,182,2255.0,1,Lightning,2457206.5,184.0,1400.0,USFS,CA,003
Humboldt-Toiyabe National Forest,2015,2457200.5,178,2000.0,1,Lightning,2457202.5,180.0,1400.0,USFS,CA,051
Inyo National Forest,2015,2457346.5,324,1519.0,9,Miscellaneous,2457359.5,337.0,1705.0,USFS,CA,051
Klamath National Forest,2015,2457234.5,212,2200.0,1,Lightning,2457236.5,214.0,1900.0,USFS,CA,093
Klamath National Forest,2015,2457212.5,190,2025.0,1,Lightning,2457215.5,193.0,2000.0,USFS,CA,093
Klamath National Forest,2015,2457211.5,189,1200.0,1,Lightning,2457214.5,192.0,1700.0,USFS,CA,093
Klamath National Forest,2015,2457234.5,212,1130.0,1,Lightning,2457245.5,223.0,2000.0,USFS,CA,093
Klamath National Forest,2015,2457234.5,212,1000.0,1,Lightning,2457236.5,214.0,1200.0,USFS,CA,093
Klamath National Forest,2015,2457174.5,152,1200.0,1,Lightning,2457184.5,162.0,2000.0,USFS,CA,093
Klamath National Forest,2015,2457254.5,232,1500.0,9,Miscellaneous,2457256.5,234.0,2000.0,USFS,CA,093
Klamath National Forest,2015,2457321.5,299,1800.0,5,Debris Burning,2457323.5,301.0,1600.0,PRIVATE,CA,093
Klamath National Forest,2015,2457235.5,213,1700.0,1,Lightning,2457247.5,225.0,2100.0,PRIVATE,CA,093
Klamath National Forest,2015,2457210.5,188,2200.0,1,Lightning,2457214.5,192.0,1651.0,USFS,CA,093
Los Padres National Forest,2015,2457324.5,302,730.0,9,Miscellaneous,2457330.5,308.0,1830.0,USFS,CA,083
